kpi_id,name,simple_definition,why_it_matters,business_value,formula,dax_formula,target_range,data_required,calculation_frequency,category
CUST_004,Repeat Customer Rate,"% of customers who have made more than one booking. If 1000 customers have booked, and 200 booked twice+, repeat rate = 20%.",High repeat rate = customer satisfaction and brand loyalty. New customers are expensive to acquire; repeat customers are profitable.,Indicates product-market fit. Guides loyalty program investment decisions.,Repeat Customer Rate = (Customers with 2+ Bookings ÷ Total Customers) × 100,"[Repeat Customer %] = DIVIDE(COUNTIF([Booking Count] >= 2), DISTINCTCOUNT([Customer ID]), 0) * 100","20-40% (startups: 10-20%, mature platforms: 40-50%)","['Customer ID (Fact_Bookings)', 'Booking Count per Customer']",Monthly / Quarterly,Customer Behavior KPIs
CUST_005,Cart Abandonment Rate,"% of customers who add a booking to cart but don't complete checkout. If 100 carts started and 80 completed, abandonment = 20%.","Identifies friction in checkout process. High abandonment = broken payment, unclear pricing, technical issues.",Quick wins for revenue: even 5% reduction in abandonment = 5% revenue increase with no marketing.,Abandonment Rate = ((Carts Initiated - Bookings Completed) ÷ Carts Initiated) × 100,"[Abandonment Rate %] = DIVIDE(([Carts Initiated] - [Bookings Completed]), [Carts Initiated], 0) * 100","20-40% (industry average: 25-30%, optimized platforms: 15-20%)","['Carts Initiated (Fact_Searches)', 'Bookings Completed (Fact_Bookings)']",Daily / Weekly,Customer Behavior KPIs
CUST_006,Search-to-Book Ratio,"For every search, how many bookings result? If 1000 searches yield 50 bookings, ratio = 1:20 (or 5%).",Overall funnel health metric. Combines conversion + cart abandonment effects.,Monitors end-to-end UX effectiveness. Trends show if product improvements are working.,Search-to-Book Ratio = Bookings ÷ Searches,"[Search to Book Ratio] = DIVIDE([Booking Count], [Search Count], 0)","1:20 to 1:40 (industry: 1:25, high-performing: 1:15)","['Booking Count', 'Search Count']",Daily / Weekly,Customer Behavior KPIs
OPS_001,Cancellation Rate,"% of bookings that are cancelled (by customer or hotel). If 1000 bookings occur and 100 are cancelled, rate = 10%.",High cancellations = revenue loss + inventory uncertainty. Impacts revenue forecasting.,Guides cancellation policy design. Flexible policies attract bookings but increase risk; strict policies reduce bookings.,Cancellation Rate = (Cancelled Bookings ÷ Total Bookings) × 100,"[Cancellation Rate %] = DIVIDE(COUNTIF([Reservation Status] = 'Cancelled'), [Booking Count], 0) * 100","8-15% (industry average: 10%, luxury: 5-8%, budget: 12-15%)","['Reservation Status (Fact_Bookings)', 'Booking Count']",Daily / Weekly,Operational Efficiency KPIs
OPS_002,Payment Success Rate,"% of payment attempts that succeed without error. If 100 payments attempted, 98 succeed, rate = 98%.",Payment failures = lost revenue + customer frustration. Below 95% is critical issue.,Identifies payment gateway issues. Guides provider selection/support improvements.,Payment Success Rate = (Successful Payments ÷ Payment Attempts) × 100,"[Payment Success Rate %] = DIVIDE(COUNTIF([Payment Status] = 'Success'), [Payment Attempts], 0) * 100",95-99% (below 95%: major issue; above 99%: excellent),"['Payment Status (Fact_Bookings)', 'Payment Attempt Count']",Daily / Real-time,Operational Efficiency KPIs
OPS_003,Inventory Utilization Rate,"% of available rooms that are booked. If 1000 rooms available on a night and 700 are booked, utilization = 70%.",Shows how well OTA is filling hotel inventory. Also called 'occupancy rate' from hotel perspective.,Guides pricing: low utilization = lower prices needed; high utilization = raise prices.,Utilization Rate = (Rooms Booked ÷ Rooms Available) × 100,"[Inventory Utilization %] = DIVIDE([Rooms Booked], [Rooms Available], 0) * 100","60-90% (varies by city: Mecca Hajj 90%+, Riyadh off-peak 40-60%)","['Rooms Booked (Fact_Bookings)', 'Rooms Available (Dim_Hotel)']",Daily,Operational Efficiency KPIs
OPS_004,Average Response Time,"Average time (in hours) for customer support to respond to inquiries. If avg response is 2 hours, that's the metric.",Fast response = happy customers = positive reviews = more bookings.,Drives NPS (Net Promoter Score) and review ratings. Guides staffing decisions.,Avg Response Time = AVG(Response Time per Ticket),[Avg Response Time Hours] = AVERAGE([Response_Time_Hours]),1-4 hours (best practice: <2 hours),['Response Time per Support Ticket'],Daily / Weekly,Operational Efficiency KPIs
OPS_005,Error Rate (Failed Bookings),"% of booking attempts that fail due to technical/system errors (not user cancellation). If 100 attempts, 2 fail = 2% error rate.",System reliability metric. High errors = lost sales + poor UX.,Guides infrastructure/platform investments. Identifies critical bugs.,Error Rate = (Failed Bookings ÷ Booking Attempts) × 100,"[Error Rate %] = DIVIDE(COUNTIF([Booking Status] = 'Failed'), [Booking Attempts], 0) * 100",0.5-2% (below 0.5%: excellent; above 2%: critical issue),['Booking Status (Fact_Bookings)'],Real-time / Daily,Operational Efficiency KPIs
OPS_006,Customer Support Tickets per 1000 Bookings,"How many support issues arise per 1000 bookings made. If 10,000 bookings generate 100 tickets, ratio = 10 per 1000.",Indicates product quality and UX. High tickets = unhappy customers / buggy product.,Prioritizes product fixes. Guides staffing needs for support team.,Support Ticket Ratio = (Support Tickets ÷ Bookings) × 1000,"[Support Tickets per 1000 Bookings] = DIVIDE([Support Ticket Count], [Booking Count], 0) * 1000",5-15 per 1000 (low: <10 indicates good product; high: >20 indicates serious issues),"['Support Ticket Count', 'Booking Count']",Weekly / Monthly,Operational Efficiency KPIs
COMP_001,Price Competitiveness Index,"How your prices compare to competitors. Index of 100 = same price, 90 = you're 10% cheaper, 110 = you're 10% more expensive.",Shows pricing strategy effectiveness. Being 10% cheaper attracts price-sensitive customers.,Guides pricing adjustments. Tells you if you can raise prices or need to drop them.,Price Index = (Your ADR ÷ Competitor Avg ADR) × 100,"[Price Competitiveness Index] = DIVIDE([Our ADR], [Competitor Avg ADR], 100) * 100",95-105 (below 95: very competitive/risky; 105+: premium positioning),"['Your ADR (Fact_Bookings)', 'Competitor ADR (Fact_Competitor_Prices)']",Daily,Competitive Position KPIs
COMP_002,Market Share by City,"% of total bookings in a city that come through your OTA. If 1000 total bookings in Riyadh and you have 200, your market share = 20%.",Shows competitive position. Growing market share = winning customers from rivals.,"Strategic focus area. If market share is declining, urgent action needed.",Market Share = (Your Bookings ÷ Total Market Bookings) × 100,"[Market Share %] = DIVIDE([Your Booking Count], [Total Market Bookings], 0) * 100","Startup: 5-15%, growing: 15-30%, established: 30%+","['Your Booking Count (Fact_Bookings)', 'Competitor Booking Counts (estimated from Fact_Competitor_Prices)']",Monthly,Competitive Position KPIs
COMP_003,Inventory Overlap with Competitors,% of hotels listed on your platform that are also listed on each competitor platform.,Shows hotel partnership strategy. High overlap = harder to differentiate; low overlap = exclusive advantage.,Guides hotel acquisition strategy. Exclusive hotels = competitive moat.,Overlap % = (Overlapping Hotels ÷ Your Total Hotels) × 100,"[Inventory Overlap %] = DIVIDE(COUNTIF([Listed on Competitor] = TRUE), [Total Hotels], 0) * 100",60-90% (most hotels multi-list; <60% suggests niche/exclusive focus),['Hotel Listing Status across Competitors'],Monthly / Quarterly,Competitive Position KPIs
COMP_004,Feature Parity Score,"Score (1-10 or %) showing how many features your platform has vs. top 5 competitors. Covers: filters, payment options, mobile, cancellation flexibility.",Shows if your product is competitive. Missing key features = customers go to better platforms.,Product roadmap prioritization. Identifies must-have features vs. nice-to-haves.,Feature Parity = (Your Feature Count ÷ Competitor Max Feature Count) × 100,"[Feature Parity Score] = DIVIDE([Your Feature Count], [Competitor Max Feature Count], 0) * 100",70-100% (below 70%: critical gaps; 100%: feature leader),"['Your Feature List', 'Competitor Feature Lists']",Quarterly,Competitive Position KPIs
COMP_005,Average Review Score vs Competitors,"Your average guest review rating (1-5 stars) compared to competitors. If you avg 4.2 and competitors avg 4.0, you're leading.",Guest satisfaction drives bookings. Higher reviews = higher conversion.,Quality/service differentiator. Guides customer experience improvements.,Review Score Advantage = Your Avg Score - Competitor Avg Score,[Review Score Delta] = [Our Avg Review] - [Competitor Avg Review],+0.3 to +0.5 is competitive advantage; -0.2 or lower is concerning,"['Review Scores (from hotel partners/OTA data)', 'Competitor Review Scores (from Agoda/Booking scrape)']",Monthly,Competitive Position KPIs
COMP_006,Commission Competitiveness,"Your commission rate vs. industry average. If you charge 18% and industry average is 20%, you're competitive.",Affects hotel willingness to list. Lower commission = more hotel partners; but revenue suffers.,Hotel acquisition lever. Guides pricing of partnerships.,Commission Competitiveness = Your Rate ÷ Industry Avg Rate × 100,"[Commission Competitiveness Index] = DIVIDE([Our Commission %], [Industry Avg Commission %], 0) * 100",90-110 (below 90: very competitive; 110+: premium/selective approach),"['Your Commission % (from Hotel agreements)', 'Industry Avg Commission % (from market research)']",Quarterly / Semi-Annual,Competitive Position KPIs
